cell_specimen_id,pref_ori
662085934,30
662086032,90
662086041,30
662086113,90
662086143,0
662086309,90
662086409,30
662086435,90
662086518,90
662086543,60
662086556,30
662086584,90
662086604,120
662086730,120
662086768,60
662086814,60
662086919,90
662086974,90
662086998,0
662087035,30
662087107,150
662087203,120
662087276,90
662087403,0
662087422,120
662087460,90
662087476,0
662087498,120
662087778,60
662087819,30
662087841,60
662087861,60
662087892,120
662088122,90
662088164,90
662088193,90
662088442,60
662088494,90
662088521,90
662088577,120
662088983,90
662089027,0
662089044,90
662089057,60
662089075,30
662089188,90
662089337,90
662089373,90
662089478,120
662089504,60
662089522,150
662089607,60
662089638,30
662089704,0
