cell_specimen_id,pref_ori
662199605,90
662199626,90
662199683,120
662199697,0
662199710,0
662199727,90
662199835,120
662199848,90
662199870,60
662199907,90
662199986,60
662200029,30
662200053,90
662200071,90
662200084,60
662200097,90
662200128,0
662200146,90
662200162,0
662200180,30
662200220,30
662200241,90
662200268,90
662200295,150
662200311,150
662200329,60
662200347,90
662200373,60
662200392,90
662200445,120
662200486,120
662200494,90
662200515,30
662200527,0
662200547,150
662200560,120
662200636,120
662200654,60
662200686,60
662200710,150
662200729,120
662200746,0
662200759,0
662200841,90
662200861,150
662200969,30
662201033,90
662201050,30
662201087,30
662201098,0
662201114,90
662201126,30
662201175,120
662201220,60
662201233,30
662201246,0
662201254,30
662201262,90
662201299,0
662201325,30
662201347,150
662201359,90
662201381,30
662201406,30
662201459,0
662201468,90
662201492,0
662201516,30
662201540,60
662201555,90
662201580,150
662201594,0
662201643,90
662201659,60
662201674,120
662201690,90
662201721,150
662201744,0
662201773,120
662201791,120
662201807,0
662201815,150
662201823,150
662201848,150
662201874,30
662201917,0
662201965,120
662201975,120
662201985,60
662202121,120
662202139,60
662202157,0
662202175,30
662202199,30
662202228,30
662202238,150
662202289,150
662202375,90
662202510,0
662202542,120
662202564,90
662202597,90
662202612,0
662202627,0
662202641,0
662202654,0
662202673,90
662202690,90
662202747,0
662202758,150
662202774,150
662202875,150
662202918,150
662202935,0
662202948,90
662202963,30
662202980,30
662203014,90
662203030,60
662203048,60
662203077,90
662203089,120
