,0,30,60,90,120,150
image_0,0.06489906,0.14886059,0.14721428,0.040984318,0.040175606,0.051526446
image_1,0.10656916,0.10393663,0.06691042,0.041072518,0.06929921,0.09206582
image_2,0.048057135,0.10720437,0.11132116,0.07380802,0.08536022,0.08216761
image_3,0.08197915,0.12879635,0.100414656,0.041549925,0.067466095,0.09105682
image_4,0.09010416,0.02690972,0.06302083,0.05711805,0.06597222,0.13125
image_5,0.034915917,0.07304655,0.12236366,0.108036794,0.096924655,0.0643315
image_6,0.06412214,0.093100965,0.10600605,0.069566466,0.07760334,0.08258678
image_7,0.044477507,0.07021431,0.11079806,0.099781565,0.102409065,0.07515274
image_8,0.028160105,0.07544499,0.10029214,0.12489835,0.106857814,0.05632021
image_9,0.05452496,0.0652094,0.08449531,0.10049746,0.10360968,0.087803565
image_10,0.031235196,0.0716485,0.11684825,0.11710485,0.09284699,0.061029527
image_11,0.059451584,0.08915088,0.080222555,0.061226655,0.1055769,0.096410125
image_12,0.048426237,0.046245825,0.06755759,0.14264111,0.12122385,0.06646738
image_13,0.07456906,0.120738104,0.100615084,0.058147922,0.06784874,0.07033564
image_14,0.06580094,0.073466204,0.08750413,0.08762437,0.09916734,0.078456126
image_15,0.0804384,0.1027302,0.08951952,0.047695465,0.07763969,0.09552793
image_16,0.07322394,0.107551746,0.09377214,0.06334142,0.07980608,0.08318105
image_17,0.07092332,0.10404806,0.100425035,0.056870405,0.07501686,0.0902304
image_18,0.091267884,0.17661569,0.06906758,0.036507152,0.06413419,0.08107219
image_19,0.13137996,0.06691871,0.041398864,0.036862,0.14914933,0.08809073
image_20,0.10903341,0.091942675,0.07167142,0.04140162,0.07816041,0.09499524
image_21,0.052508842,0.07515234,0.059805915,0.049499735,0.1438351,0.101030625
image_22,0.06428186,0.1023348,0.09283157,0.065422244,0.08062741,0.07978713
image_23,0.04841351,0.07405322,0.111156605,0.09636642,0.0944217,0.06688843
image_24,0.07594374,0.09477609,0.077405415,0.042939458,0.07782909,0.11100284
image_25,0.102010675,0.13762671,0.09848415,0.044146154,0.050368346,0.056368977
image_26,0.08671841,0.07406423,0.06592939,0.04660251,0.08834007,0.12707359
image_27,0.04287594,0.06827985,0.09244097,0.1066964,0.1006287,0.075115144
image_28,0.087117314,0.08557371,0.07039491,0.047755342,0.090815544,0.11351942
image_29,0.04902406,0.088722,0.09462304,0.09945116,0.10044155,0.074567735
image_30,0.20207554,0.08533951,0.07717431,0.045514405,0.05267871,0.054680504
image_31,0.11335796,0.07245285,0.05009236,0.035995528,0.07378962,0.12918045
image_32,0.052995466,0.08849427,0.09491896,0.06696996,0.097087696,0.08888563
image_33,0.069519214,0.09207351,0.08701503,0.047800258,0.091702245,0.10469649
image_34,0.06506335,0.09598454,0.067998,0.092441484,0.085677475,0.07558514
image_35,0.054751478,0.096366614,0.09436107,0.047698636,0.09292376,0.09703513
image_36,0.07925595,0.09073777,0.0810358,0.054303065,0.086026385,0.09586794
image_37,0.13296767,0.10395011,0.048480563,0.022913257,0.053125143,0.14951122
image_38,0.042162996,0.0833009,0.10523914,0.07373848,0.10424398,0.08149767
image_39,0.047241427,0.070705295,0.07941328,0.0706802,0.12197448,0.10000377
image_40,0.07046332,0.11249561,0.108810104,0.049491048,0.07906283,0.08230958
image_41,0.07716525,0.10568553,0.10435829,0.051916786,0.066639915,0.07704179
image_42,0.038666025,0.11924326,0.08844853,0.065456055,0.11199337,0.0625561
image_43,0.13778006,0.095587395,0.07409303,0.040771067,0.068691,0.084157854
image_44,0.054407712,0.042404566,0.05873672,0.0850059,0.14226682,0.1010429
image_45,0.06720068,0.062947474,0.096264265,0.11356065,0.1003757,0.08563125
image_46,0.062404376,0.10315731,0.11048263,0.07520052,0.080532245,0.07065696
image_47,0.0669321,0.096862376,0.0846803,0.05819666,0.09799145,0.09892244
image_48,0.06332775,0.07338041,0.08343307,0.06550184,0.10724829,0.11002074
image_49,0.086695686,0.10565056,0.08491541,0.047768652,0.0791706,0.08917912
image_50,0.03314565,0.076914914,0.12865187,0.12302136,0.05524275,0.041432064
image_51,0.021720663,0.0377843,0.07603197,0.14605938,0.14644553,0.078175075
image_52,0.14293975,0.054632176,0.05246423,0.061569594,0.060991473,0.037866745
image_53,0.054581106,0.07321059,0.08105458,0.061771434,0.12419653,0.08715547
image_54,0.08526471,0.085491925,0.08679845,0.047943648,0.081515566,0.11713246
image_55,0.059692584,0.152813,0.08088345,0.021041635,0.038949408,0.0768542
image_56,0.06548322,0.08766234,0.103727445,0.06889863,0.11549166,0.08521673
image_57,0.25858125,0.04373252,0.045512334,0.05225019,0.11263666,0.1127638
image_58,0.06830913,0.111930065,0.10039352,0.07001397,0.069296144,0.070731804
image_59,0.029573955,0.07967593,0.12754947,0.1185602,0.095898174,0.048534524
image_60,0.03642458,0.072458096,0.1142458,0.100446925,0.1070391,0.065083794
image_61,0.02116975,0.035643954,0.05976762,0.08797755,0.19092162,0.11072271
image_62,0.046680816,0.070679344,0.1003408,0.13077772,0.0823419,0.05905761
image_63,0.043082636,0.09845868,0.13333333,0.094466105,0.088059425,0.057195913
image_64,0.049205832,0.082009725,0.08650393,0.06211228,0.10440394,0.10632454
image_65,0.06301748,0.079944804,0.09052438,0.07396504,0.117755294,0.08169273
image_66,0.04195028,0.059633024,0.09529447,0.06503403,0.14464338,0.10025155
image_67,0.040321395,0.06612118,0.10423117,0.11934248,0.09376383,0.071649715
image_68,0.0512291,0.04215637,0.06711188,0.21302256,0.060521517,0.053096373
image_69,0.053645313,0.061349694,0.088457696,0.09530604,0.13225852,0.08503353
image_70,0.056755975,0.09144197,0.09121611,0.056239713,0.0970455,0.100024745
image_71,0.06131078,0.09882119,0.10753411,0.062431928,0.080594525,0.08764174
image_72,0.073264435,0.036686327,0.07791787,0.15664737,0.08067746,0.09972404
image_73,0.056578375,0.07712714,0.07593935,0.060300115,0.088925846,0.09066793
image_74,0.05253025,0.081774525,0.08505766,0.07940336,0.1032568,0.08509819
image_75,0.075350195,0.11431844,0.08599052,0.047438856,0.08795195,0.09847078
image_76,0.03161552,0.063867524,0.10289131,0.08228383,0.1137011,0.09065203
image_77,0.013660188,0.03340807,0.08251051,0.23434646,0.09527981,0.040282708
image_78,0.062251117,0.08931834,0.087948,0.051862266,0.095537595,0.10716796
image_79,0.13474922,0.06482556,0.057722047,0.116338074,0.070431046,0.070020296
image_80,0.09563947,0.075326994,0.07489037,0.088691466,0.074168995,0.08333808
image_81,0.035302486,0.036725067,0.07592094,0.32169062,0.060160227,0.022237198
image_82,0.0708554,0.08963248,0.08857593,0.08560691,0.090461664,0.08507194
image_83,0.04418933,0.080697216,0.123928465,0.08422698,0.07810871,0.07111641
image_84,0.05696619,0.10012612,0.09616393,0.050805274,0.089880235,0.09691172
image_85,0.23146044,0.013495457,0.0104222335,0.20433591,0.013428648,0.04259086
image_86,0.03157755,0.007297333,0.0076953694,0.12438636,0.20326391,0.0952302
image_87,0.059244532,0.08201699,0.07225737,0.05038858,0.09904211,0.124995485
image_88,0.0857631,0.10445159,0.08061156,0.039495133,0.07467553,0.107894674
image_89,0.048839383,0.08666583,0.091020755,0.073894165,0.09896291,0.0898064
image_90,0.055303607,0.06338457,0.07799422,0.06008218,0.12118399,0.12357327
image_91,0.08448289,0.09376457,0.076795794,0.051267393,0.074057914,0.101060554
image_92,0.06021276,0.093136355,0.08762807,0.074789405,0.076849766,0.08298877
image_93,0.0561109,0.03621275,0.075726144,0.065038346,0.1326229,0.119137436
image_94,0.032440573,0.11425432,0.08857049,0.19016607,0.050553564,0.043349072
image_95,0.0754513,0.096186414,0.079163305,0.04462216,0.09388106,0.102164686
image_96,0.07588911,0.11063402,0.07890725,0.0506446,0.08472572,0.09866518
image_97,0.06839985,0.10863927,0.09185789,0.048019886,0.075938,0.094065495
image_98,0.07520002,0.09846076,0.08722779,0.05706565,0.08557198,0.094314635
image_99,0.08789386,0.088489175,0.060126718,0.035506226,0.0872135,0.12875792
image_100,0.07302828,0.088785306,0.08321417,0.050214488,0.09324221,0.10503445
image_101,0.08947323,0.110037416,0.068604395,0.032150574,0.07310757,0.111598775
image_102,0.042704627,0.21494661,0.14377224,0.015658364,0.036298934,0.068327405
image_103,0.052860238,0.08276482,0.08154329,0.05817277,0.10263207,0.10566286
image_104,0.05620495,0.0859693,0.101056874,0.052619785,0.07312246,0.08380326
image_105,0.15494695,0.14528684,0.05007322,0.07029263,0.041723404,0.03342497
image_106,0.08708107,0.07806888,0.083974175,0.078112945,0.06557521,0.09776788
image_107,0.042325646,0.05322929,0.07620939,0.14340788,0.09224553,0.06053322
image_108,0.05871401,0.054800533,0.066706985,0.10485746,0.108237274,0.09889237
image_109,0.0013389773,0.003196268,0.112776436,0.27064618,0.10547685,0.00552868
image_110,0.087764055,0.15162908,0.07102578,0.041935194,0.057286076,0.07290548
image_111,0.07601958,0.10016313,0.054594886,0.03110386,0.08983143,0.15312669
image_112,0.061163586,0.03851691,0.03307468,0.033496015,0.14616762,0.16172186
